Type,Group,Category
COSTS ,Clothes - CLT ,CLT-New
COSTS ,Clothes - CLT ,CLT-Second hand
COSTS ,Clothes - CLT ,CLT-Other
COSTS ,Communication - COM ,COM-Telephone
COSTS ,Communication - COM ,COM-Internet
COSTS ,Communication - COM ,COM-Other
COSTS ,Education - EDU ,EDU-School
COSTS ,Education - EDU ,EDU-Trainings
COSTS ,Education - EDU ,EDU-Books
COSTS ,Education - EDU ,EDU-Software
COSTS ,Education - EDU ,EDU-Zsebtanar
COSTS ,Education - EDU ,EDU-Other
COSTS ,Food - FOOD ,FOOD-Groceries
COSTS ,Food - FOOD ,FOOD-Guests
COSTS ,Food - FOOD ,FOOD-Other
COSTS ,Health - HLT ,HLT-Insurance
COSTS ,Health - HLT ,HLT-Pharmacy
COSTS ,Health - HLT ,HLT-Medical care
COSTS ,Health - HLT ,HLT-Sport
COSTS ,Health - HLT ,HLT-Other
COSTS ,Relationships - REL ,REL-Eating out
COSTS ,Relationships - REL ,REL-Culture
COSTS ,Relationships - REL ,REL-Gifts
COSTS ,Relationships - REL ,REL-Other
COSTS ,Official - OFF ,OFF-Fines
COSTS ,Official - OFF ,OFF-Legal fees
COSTS ,Official - OFF ,OFF-Other
COSTS ,Flat - FLT ,FLT-Rent
COSTS ,Flat - FLT ,FLT-Utilities
COSTS ,Flat - FLT ,FLT-Tools
COSTS ,Flat - FLT ,FLT-Repair
COSTS ,Flat - FLT ,FLT-Other
COSTS ,Transportation - TRS ,TRS-Bicycle
COSTS ,Transportation - TRS ,TRS-Public
COSTS ,Transportation - TRS ,TRS-National
COSTS ,Transportation - TRS ,TRS-International
COSTS ,Transportation - TRS ,TRS-Other
COSTS ,Shopping - SHP ,SHP-Toiletries
COSTS ,Shopping - SHP ,SHP-Baby
COSTS ,Shopping - SHP ,SHP-Other
COSTS ,Savings ,Fundamenta
COSTS ,Savings ,Generali
COSTS ,Savings ,IRA
COSTS ,Savings ,Signal
COSTS ,Savings ,UniSaving
COSTS ,Loans ,Great Lakes
COSTS ,Loans ,Navient
COSTS ,Loans ,Other loans
COSTS ,Donations ,Donation sent 
COSTS ,Other ,Bank fee
COSTS ,Other ,Transfer
COSTS ,Other ,We don't know!
COSTS ,Other ,Pending payment
INCOME,Payment ,Payment-V
INCOME,Payment ,Payment-M
INCOME,Other ,Gifts received
INCOME,Other ,Interest
INCOME,Other ,Other income
