Category;Pattern
Bank fee;Cr Forgalmi kedvezmény
Bank fee;Költség ATM kifizetés
Bank fee;Számlainformációs SMS díj
Bank fee;Havi zárlati díj
Bank fee;Állandó megbízás díja
Bank fee;Átutalási Jut -SpectraNet
Bank fee;eBanking havi szolgáltatási díj
Bank fee;Bankon bel.átut.jut-SpNet
Bank fee;Csoportos terhelés díja
Bank fee;Bankon bel.áll.megbíz.díj
CLT-New;C&A
COM-Telephone;BUDAPEST FELTOLTES
COM-Telephone;TELEKOM/MOBIL
Donation sent;Adomány
Donation sent;DONATION
Donation sent;Kevezsda Szilvi
Donation sent;OM Philippines
EDU-Books;Kindle
EDU-Zsebtanar;GSUITE_zse
FOOD-Groceries;ALDI
FOOD-Groceries;Ázsia Bolt
FOOD-Groceries;CBA PRI'MA
FOOD-Groceries;LIDL
FOOD-Groceries;SPAR
FOOD-Groceries;VEGYESKERESKEDE'S
HLT-Pharmacy;FAGYO:NGY PATIKA
OFF-Legal fees;KORMA'NYABLAK
OFF-Legal fees;POSTA
Payment-V;Morgan Stanley munkabér utalás
REL-Eating out;E'TTEREM
REL-Eating out;Nandori es Tarsa Kft.
REL-Eating out;WOKZILLA
REL-Gifts;VIRAGSZALON
SHP-Other;ADMIN.WEBONIC.HU
SHP-Toiletries;DM 020
Transfer;^ATM kifizetés
Transfer;SZABÓ VIKTOR
TRS-National;VOLANBUSZ
TRS-Public;BKK AUTOMATA
